标题,原价,最终价,历史价,销售店铺,店铺 ID,sku
西门子（SIEMENS）【黑魔镜3.0】636Max全面升级【双一级认证】超省水省电150升以上AI智能洗嵌入式洗碗机SJ43EB33KC,6499.00,6499.00,6999.00,西门子家电京东自营旗舰店,1000001421,100130777668
美的晶焰G7洗碗机 16套灶下嵌入式 万向飓风喷臂,4999.00,4999.00,7999.00,京东电器自营官方旗舰店,1000469621,100193977566
美的台式UP2 Pro 50L 三星消毒 专利母婴洗洗碗机,1998.00,1998.00,5099.00,美的京东自营旗舰店,1000282702,100214818628
美的万向X6S Max星河版 150L+母婴级单消毒洗碗机,5175.00,5175.00,10099.00,美的京东自营旗舰店,1000282702,100196507873
西门子新水效洗碗机全链路除菌99.999%,5790.00,5790.00,9999.00,西门子家电京东自营旗舰店,1000001421,100333110210
老板盐系 G1P 嵌入式洗碗机 21 套自动开关门烘干,6234.10,6234.10,7599.00,京东家电自营旗舰店,1000492521,100283224498
美的万向X6S小蛮腰111L 45cm超窄双模烘干 洗碗机,6234.00,6234.00,6999.00,美的京东自营旗舰店,1000282702,100272261422
美的（Midea）【万向X6S Max】洗碗机嵌入式升级18套一键洗烘蒸汽消毒UV杀菌105℃热烘一体机 国家补贴立减20% 四星级消毒【免费上门测量尺寸】,5799.00,5799.00,7099.00,美的智慧厨房旗舰店,12262797,10169917537095
老板（Robam）【小太阳消毒洗碗机】150升以上嵌入式105℃独立消毒45分钟极速洗烘消专柜同款W76A-V20P升级款,7289.00,7289.00,9499.00,老板电器京东自营旗舰店,1000001402,100254885053
CIARRA【德国品质】集成水槽洗碗机一体式蜂窝双槽超声波洗菜池嵌入式洗碗机一体多功能保洁柜AKC09PLUS 搭配RO净水器,21980.00,18980,21980.00,CIARRA旗舰店,11663174,10113377471006
美的灶下T7 Pro 137L 700mm高万向飓风洗洗碗机,6822.00,6822.00,7999.00,美的京东自营旗舰店,1000282702,100272261426
美的万向X6S Max洗碗机 18套嵌入式 四星消毒 七星消杀 一键洗烘,6469.00,6469.00,6999.00,京东电器自营官方旗舰店,1000469621,100261776992
老板（Robam）【推荐消毒洗碗机V20】【甲流消杀】嵌入式洗碗机家用全自动独立消毒分层洗W64B35D黑色,5353.00,4817.7,5999.00,老板电器京东自营旗舰店,1000001402,100267393790
老板（Robam）【B35升级款】AI智能洗盐系G3 15套洗碗机灶下嵌入式家用免改柜直换 一键消毒洗热风烘干APP智联 灶下 106L 洗碗机G3 15套大容量,5057.65,4299,5299.00,老板电器官方旗舰店,48802,10214072439348
海尔W5000Plus 18套双面洗 AI智能洗双重除菌嵌入式洗碗机,3666.00,3666.00,6899.00,海尔京东自营旗舰店,1000001782,100142299486
美的【万向X6S MAX】洗碗机 嵌入式升级款18套大容量家用洗碗机 万向喷淋臂 105℃热烘 X6SMAX【黑色款】,5499.00,5499.00,5999.00,美的集成灶旗舰店,16284515,10217247949681
老板（Robam）【独立下层洗】盐系G3 106升容量灶下可装家用全自动洗碗机嵌入式七星级消毒一级能效W60A-G3,5054.00,5054.00,5999.00,老板电器京东自营旗舰店,1000001402,100339833852
美的（Midea）【万向X6S Max】洗碗机全嵌入式升级18套大容量家用洗碗机全自动万向喷淋臂热风烘干【X6S Ultra】 嵌入式 【新品】【万向升级款X6SUltra】,5499.00,5499.00,6999.00,美的洗碗机旗舰店,674884,10213700043093
美的（Midea）【小西梅X7】洗碗机全嵌入式升级22套大容量家用洗碗机全自动万向喷淋臂105℃热风烘干电吸门 嵌入式 【重磅新品】 小西梅X7,5999.00,5999.00,7599.00,美的洗碗机旗舰店,674884,10215678259719
海尔（Haier）洗碗机【AI四驱双面洗】5000Plus嵌入式全自动洗碗机UV超净洗高温独立消杀7天长效存储智能速干 嵌入式 【免费厨改】17套分区洗大容量,4587.00,4587.00,4699.00,海尔新大洋专卖店,19662627,10167468292422
西门子新水效洗碗机全链路除菌99.999%,5390.00,5390.00,9999.00,西门子家电京东自营旗舰店,1000001421,100249637925
海尔（Haier）出品leader嵌入式洗碗机16套家用灶下直嵌安装智能开门速干 高温+UV双除菌洗消烘干一体 长效储存 【新品首发】16套灶下平嵌V1Z,3397.00,3397.00,5999.00,海尔洗嵌旗舰店,13747614,10211422168708
美的【万向X6S MAX】洗碗机 嵌入式升级款18套大容量家用洗碗机 万向喷淋臂 105℃热烘 X6SMAX【白色款】,5499.00,5499.00,5999.00,美的集成灶旗舰店,16284515,10217247949680
卡萨帝F11 嵌入式14套45cm超窄省空间智能开关门速干洗碗机,7498.00,7498.00,8999.00,卡萨帝京东自营旗舰店,1000004489,100149486075
西门子（SIEMENS）【极净魔盒3.0Max】独立嵌入式洗碗机150L以上容积 家用全自动白色 SN23EW88KC,4590.00,4590.00,5890.00,西门子厨房冰洗电器京东自营旗舰店,1000567361,100302781180
美的（Midea）【万向X6S Max】洗碗机嵌入式18套七星消杀四星消毒一键洗烘蒸汽消毒UV杀菌105℃万向喷淋臂 嵌入式 15L 【灶下V9 Pro】洗烘消存一体机,3699.00,3699.00,5999.00,美的厨热旗舰店,196821760,10212907547380
西门子极净魔盒14+2套嵌入式洗碗机家用全自动消毒黑白色XB33 SJ43XW33KC 14套 白色 余温循环,71010.00,71010.00,71010.00,龙泉高端国际精品经营部,212202217,10211837290374
美的晶焰小西梅GX1200Max 21套嵌入式 万向飓风洗,7998.00,7998.00,8999.00,京东电器自营官方旗舰店,1000469621,100261776990
老板（Robam）【21天智能投洗】灵动舱150升以上大容量盐系G1PMax黑嵌入式洗碗机 家用全自动开关门W76D-G1P 京东自营,6923.00,6230.7,7899.00,老板电器京东自营旗舰店,1000001402,100140673670
西门子（SIEMENS）大容量嵌入式灶下洗碗机晶蕾烘干晶御智能智净魔方PLUS智感探测微米蒸汽洗十天十夜长效抑菌存储 SJ43HB66MC 墅级20+2套双核热动力烘干,9765.00,8165,9990.00,西门子燎越专卖店,16973585,10179188940394
博世SJS4EKB11C 15套大容量洗碗机 一级水效智能开门烘干,3999.00,3999.00,9899.00,博世家电京东自营旗舰店,1000001576,100112948311
西门子（SIEMENS）【重磅新品】嵌入式洗碗机20+2套大容量微米蒸汽洗 晶蕾烘存  龙卷强排系统晶御 SJ45ZB88MC 嵌入式 【重磅新品】智能互联20套晶蕾烘干,12100.00,11290,12100.00,西门子科宇专卖店,17005652,10177654418489
老板（Robam）【21天智能投洗】灵动舱150升以上大容量盐系G1PMax黑嵌入式洗碗机 家用全自动开关门W76D-G1P 京东自营,6923.00,6230.7,7899.00,老板电器京东自营旗舰店,1000001402,100140673670
老板（Robam）【21套+6+6大容量】大平层E1黑嵌入式洗碗机家用 全自动开关门烘干国家补贴 独立烘干消毒 嵌入式 大平层E1 消毒洗碗机0菌系列,7292.94,7292.94,9999.00,老板电器官方旗舰店,48802,10148023786623
美的（Midea）洗碗机嵌入式 家用万向五臂飓风洗 耗材智能投放 变频内循环 七星消杀 烘干洗消一体机 嵌入式 【25套】GX1200 Max尊享版,7499.00,7499.00,9999.00,美的集成洗碗机旗舰店,115303304,10209837703038
德玛仕（DEMASHI）商用洗碗机长龙式全自动化大型单位酒店食堂饭堂刷碗机大容量刷碗机【企业采购】 DMS6800-RX2Y2Z2双缸双喷双烘,169800.00,169800.00,169800.00,德玛仕新疆商用电器旗舰店,13105067,10206906370776
西门子（SIEMENS）极净魔盒150L以上容积 嵌入式洗碗机官方家用消毒除菌【HB88】SJ43HB88KC,5990.00,5990.00,7999.00,西门子厨房冰洗电器京东自营旗舰店,1000567361,100199252324
火星人B68洗碗机嵌入式 16套容量 洁净强洗 上下分区洗 一级水效  智能变频洗碗机独立式,4580.00,4092,6580.00,火星人（marssenger）官方旗舰店,615369,10164371892274
方太（FOTILE）JBCD7E-03-W5全自动家用洗碗机洗排烘消存一体机高能气泡洗100℃除菌双环流烘干技术官方旗舰 嵌入式 JBCD7E-03-W5,6899.00,6399,7599.00,高端厨电专卖店,77486626,10208617596842
优厨派商用大型长龙式全自动洗碗机酒店学校宴会厅食堂自动洗碗机高温消毒烘干除渣洗碗一体机 10双缸除渣一洗两漂两烘YCP-L650H2CZ,105455.00,105455.00,105455.00,优厨派厨房电器官方旗舰店,13071028,10124152372466
东芝（TOSHIBA）【白玉】洗碗机18套大容量 超净纳米微泡洗 五星消毒 85°高温 母婴级认证 门店同款TH0Max-1825,8234.00,8234.00,8499.00,京东电器自营官方旗舰店,1000469621,100193977550
栖川日本栖川集成水槽洗碗机一体三合一果蔬嵌入式14套洗碗机单独烘干双层上下分层洗XC-09Pro-105 1050mm基础款右洗,15588.00,11088,15980.00,栖川官方旗舰店,11588570,10185845338446
老板洗碗机星辰W60B01A 灶下13套嵌入式 0菌认证 热风烘干,3917.00,3525.3,4299.00,老板电器京东自营旗舰店,1000001402,100126109293
西门子SJ53HS11MC洗碗机 150L嵌入式 双核热动力 AI智洗 长效存储,7520.00,7520.00,8990.00,西门子大家电京东自营旗舰店,1000614295,100287013236
西门子（SIEMENS）【黑魔镜4.0】636ultra嵌入式洗碗机150升以上容积火锅洗双一级认证省水省电一键单消毒SJ43HB03MC,7190.00,7190.00,8999.00,西门子家电京东自营旗舰店,1000001421,100323376666
栖川日本栖川集成水槽洗碗机一体三合一果蔬嵌入式14套洗碗机单独烘干双层上下分层洗XC-09Pro-105 升级气泡洗1050mm基础款右洗,16700.00,12200,16980.00,栖川官方旗舰店,11588570,10192970003503
Hopoot星崎艾世铭ICE MATE洗碗机XWT-500A/XW-400A全自动商用洗碗机 XW-600A,24630.00,24610,24630.00,杜罗电器专营店,10786970,10158568943525
方太（FOTILE）【门店同款】方太嵌入洗碗机家用6+3洗涤程序 热风烘干高温除菌12套大容量 JPCD11E-G1 嵌入式 G1,6548.70,6548.70,6548.70,伟浓三号小店,102311583,10208351852093
西门子黑魔镜636Mega150L+大容积单烘干 双一级认证超节能洗碗机,8399.00,8399.00,8999.00,西门子家电京东自营旗舰店,1000001421,100258341766
圣 托（shentop）商用洗碗机大型内循环吸气免烟罩整机304不锈钢高温喷淋漂洗机双缸单漂洗消毒烘干洗碗机 STW-M480,138000.00,138000.00,138000.00,圣托京东自营旗舰店,1000082725,100275576878
西门子（SIEMENS）【极净魔盒】14套嵌入式洗碗机家用全自动消毒除菌官方黑色一级水效 SJ43XB33KC,4099.00,4099.00,5490.00,西门子家电旗舰店,16571947,10200222986435
西门子 SJ85ZX08MC全自动洗碗机20套晶蕾轻触开门AI智洗 嵌入式,10012.00,10012.00,10012.00,博西电器II经营部,13257562,10203514314233
海尔【新品机皇】统帅懒人V1Y嵌入式洗碗机,5498.00,5498.00,6555.00,海尔京东自营旗舰店,1000001782,100337491156
美的（Midea）【万向X6S MAX】洗碗机嵌入式18套大容量家用洗碗机四星消毒七星消杀一键洗烘UV杀菌105℃热风烘干 嵌入式 升级款 X6S Ultra 【智能双模烘干】,5499.00,5499.00,6999.00,美的集成洗碗机旗舰店,115303304,10214838726182
海尔（Haier）嵌入式双面洗洗碗机小蛮腰X11 14套大容量 45cm超窄 分区洗 一级水效 双面洗冰雪白X11S,4704.00,4704.00,5599.00,海尔洗嵌旗舰店,13747614,10164656134352
西门子灶下安装嵌入式洗碗机+蒸烤炸炖四合一 ES03+S6W,9290.00,9290.00,9290.00,西门子家电洗碗机旗舰店,16617149,10135851251319
华凌神机【 Vie8 Max】美的出品 灶下15套洗碗机台式 55kPa水压一键洗烘 105℃热风烘干 门店同款,3528.00,3528.00,3999.00,京东电器自营官方旗舰店,1000469621,100194168593
樱驰水槽洗碗机一体14套大容量全自动洗碗机集成水槽超声波果蔬清洗一体机 HWB14-58GHU1 900mm双槽 14套海尔洗碗机 超声波净水器款 洗碗机可选左右方向(联系客服备注）,8599.00,7699,8599.00,樱驰 SAKANICH集成厨电旗舰店,16612330,10164108882621
卡萨帝（Casarte）小炫风超净舱16套大容量厨房洗碗机家用烘干除菌消毒全自动嵌入式 CYBW16327YYU1,4598.00,4598.00,4598.00,盛世优品家电经营部,16345805,10183323051859
美大易玲集成水槽洗碗机一体嵌入式3D超声波果蔬清洗家用大容量消毒柜水槽式全自动洗碗机 1000mm【镀钛双槽】14套洗碗机,8588.00,6588,8588.00,美大易玲天途专卖店,201043342,10199152078108
美的（Midea）【小西梅PRO】洗碗机GX7尊享版嵌入式150升以上智投万向五臂飓风洗双模烘干七星消杀,9499.00,9499.00,12999.00,美的京东自营旗舰店,1000282702,100341835726
海尔云溪 396 嵌入式洗碗机 16 套双重超净 UV 除菌,5499.00,3849.3,8599.00,京东家电自营旗舰店,1000492521,100038368193
西门子（SIEMENS）西门子家用全能舱洗碗机嵌入式 隐藏式全自动厨房洗碗机 智能APP控制15套大容量高温除菌洗烘一体 嵌入式 智能开门烘干SJ63EX66KC 15套 带面板,8434.11,8233.11,8434.11,合资电器专营店,71987948,10215066544035
华帝【双子星D3000】张凌赫推荐洗碗机嵌入式18套变频全域洗5WPa水压105℃烘干母婴消毒一级水效家用 台嵌两用 【双子星全域洗】D3000,4234.00,4234.00,7999.00,华帝洗碗机旗舰店,13097688,10165778716314
方太（FOTILE）嵌入式洗碗机02-V5 家用大容量 高能气泡洗 全自动双风机烘干 存储7天 厨房洗碗柜 JBCD7E-02-V5,4298.00,3798,5099.00,高端厨电专卖店,77486626,10208565572940
华帝1灶下洗碗机iE7Pro 五星消毒 热风烘干 免厨改 替代消毒柜,3527.00,3527.00,4418.00,华帝京东自营旗舰店,1000000930,100210684548
美的（Midea）【万向X6S MAX】洗碗机嵌入式18套大容量家用洗碗机四星消毒七星消杀一键洗烘UV杀菌105℃热风烘干 嵌入式 X6S Max 白色款【支持鸿蒙智联】,5499.00,5499.00,6499.00,美的集成洗碗机旗舰店,115303304,10211533240644
美的（Midea）【小西梅X7黑】洗碗机嵌入式150升以上 万向喷臂 105℃热风烘干 晶焰速干 七星消杀 一键洗烘,7058.00,7058.00,8999.00,美的京东自营旗舰店,1000282702,100247048671
海尔超窄X11Pro 14套小户型超窄双面洗10天净存超窄洗碗机,5598.00,5598.00,7599.00,海尔京东自营旗舰店,1000001782,100276808926
老板（Robam）【活氧消毒洗C5】21套大容量嵌入式洗碗机家用 21天智能投放 全自动开关门速干【支持鸿蒙智】 嵌入式 活氧洗E1P-C5,8157.65,8157.65,8399.00,老板电器官方旗舰店,48802,10168994858028
老板（Robam）【自动开关门】盐系W76D/A-G1火山盐黑150L以上大容量嵌入式洗碗机家用全自动紫外消毒 【海盐白】W76A -G1洗碗机 一级水效,5410.00,4598.5,6999.00,老板烟灶旗舰店,797706,10122116326247
华帝双子星D3000Max 智能投放洗碗液 23寸大彩屏 果蔬洗 一级水效,5880.00,5880.00,7655.00,华帝京东自营旗舰店,1000000930,100188469716
海尔（Haier）【小蛮腰X11/X11S】洗碗机嵌入式中型115L双面洗大容量45cm超窄分区洗一级水效7天净存 嵌入式 EYBW14586BBU1小蛮腰X11S,4623.00,3699,4623.00,海智经营部,12989720,10214863529993
小米智能嵌入式洗碗机16套P2 大容量家用智能开关门热风烘干一级水效 米家智能嵌入式洗碗机16套P2,5099.00,4589.1,6999.00,小米家电家居官方旗舰店,16622680,10122292456379
冈田（日本）集成洗碗机水槽一体机家用纳米镀钛不锈钢水槽消毒柜超声波洗碗机水槽一体三合一果蔬清洗 【标准款】750单槽-14套洗碗机,4899.00,4679,8798.00,冈田洗碗机旗舰店,18296903,10204839717761
麦大厨商用洗碗机全自动大型刷碗机学校餐厅厨房单缸双喷单烘干长龙式洗碗机 MDC-XXA2-XCS-Z1P2H1,82990.00,82990.00,89440.00,麦大厨制热京东自营旗舰店,1000471043,100077801163
麦大厨商用洗碗机揭盖式全自动大型酒店餐厅学校食堂专用刷碗机 【双框高效款】套装 300人可用丨上门培训,27410.00,22860,27410.00,麦大厨官方旗舰店,10390922,10115768446810
郑弦郑弦 商用洗碗机 QCHR-LNMDJH457XM 台,200000.00,200000.00,200000.00,郑弦居家布艺旗舰店,16334194,10155504815593
乐创商用洗碗机 长龙式自动化大型酒店食堂刷碗机 LC-J-FD4600-2PDJ,117500.00,117500.00,117500.00,乐创 LECON商用旗舰店,17614651,10149174901382
风之鹿商用洗碗机长龙洗碗机全自动化大型酒店食堂饭店大容量清洗刷碗机长龙机 标准款3.6米/洗漂烘干一体,49980.00,49980.00,49980.00,风之鹿商用电器旗舰店,20093781,10186210786289
喜涮涮ZBP7C-1J1X3H商用洗碗机,149600.00,149600.00,149600.00,喜刷刷洗碗机官方旗舰店,13397987,10214690257997
驰能（CHINENG）商用洗碗机 长龙式自动洗碗机,108000.00,108000.00,108000.00,驰能（CHINENG）京东自营旗舰店,1000408685,100236855278
华帝【双子星D3000】享85折！下单抢100元京豆+洗涤套装,4443.00,3998.7,5999.00,华帝京东自营旗舰店,1000000930,100100885072
乐创（lecon）长龙式洗碗机商用揭盖式刷碗洗碟机全自动洗碗机食堂烘干可选配 平板式洗碗机组合套餐,58800.00,49980,58800.00,乐创商超设备旗舰店,10277589,10079262277235
优厨派商用大型长龙式全自动洗碗机酒店学校宴会厅食堂自动洗碗机高温消毒烘干除渣洗碗一体机 12三缸除渣两洗两漂两烘YCP-L700H2CZ,138800.00,138800.00,138800.00,优厨派厨房电器官方旗舰店,13071028,10124152372468
麦大厨 长龙式洗碗机 双缸双喷淋双烘干 5.9米 1200人餐具/h,101999.00,101999.00,109760.00,麦大厨制热京东自营旗舰店,1000471043,100077802183
德玛仕（DEMASHI）商用洗碗机揭盖式 全自动饭店餐厅酒店学校食堂洗碗机洗盘子洗杯机大型 4.9米丨电热加热丨DMS-XWJ-490DX1,121599.00,121599.00,121599.00,德玛仕商用设备旗舰店,878142,10214099267641
优厨派商用大型长龙式全自动洗碗机酒店学校宴会厅食堂自动洗碗机高温消毒烘干除渣洗碗一体机 11四缸三洗两漂两烘干YCP-L730H2,116364.00,116364.00,116364.00,优厨派厨房电器官方旗舰店,13071028,10124152372467
今创通道式洗碗机商用洗碗机餐厅酒店食堂全自动清洗消毒烘干一体洗碗机  SDS-700A-HG,57299.00,57299.00,57299.00,今创厨电官方旗舰店,16211214,10112343517520
西门子（SIEMENS）【双一级认证超省水省电】150升以上容积晶蕾烘存黑魔镜洗碗机嵌入式 SJ65ZX00MC(送黑玻璃门板）,11800.00,11800.00,11999.00,西门子家电京东自营旗舰店,1000001421,100096073159
德玛仕（DEMASHI）商用洗碗机揭盖式 全自动饭店餐厅酒店学校食堂洗碗机洗盘子洗杯机大型 5.9米丨电热加热丨DMS-XWJ-590DX1,141599.00,141599.00,141599.00,德玛仕商用设备旗舰店,878142,10214099267644
风之鹿商用洗碗机长龙洗碗机全自动化大型酒店食堂饭店大容量清洗刷碗机长龙机 标准款4.5米/洗漂烘干一体,62800.00,62800.00,62800.00,风之鹿商用电器旗舰店,20093781,10186210786290
优厨派商用大型长龙式全自动洗碗机酒店学校宴会厅食堂自动洗碗机高温消毒烘干除渣洗碗一体机 04双缸除渣一洗两漂YCP-L460CZ,77818.00,77818.00,77818.00,优厨派厨房电器官方旗舰店,13071028,10124152372460
德玛仕（DEMASHI）商用洗碗机揭盖式 全自动饭店餐厅酒店学校食堂洗碗机洗盘子洗杯机大型 3.3米丨电热加热丨DMS-XWJ-330DX1,71599.00,69999,71599.00,德玛仕商用设备旗舰店,878142,10214099267635
HBZC 鸿博智成智慧厨房食堂商用洗碗机揭盖式 全自动饭店餐厅酒店学校食堂洗碗机洗盘子洗杯机,66000.00,66000.00,66000.00,鸿博智成（HBZC）京东自营旗舰店,1000478414,100325588434
优厨派商用大型长龙式全自动洗碗机酒店学校宴会厅食堂自动洗碗机高温消毒烘干除渣洗碗一体机 08三缸两洗两漂一烘干YCP-L570H1,96600.00,96600.00,96600.00,优厨派厨房电器官方旗舰店,13071028,10124152372464
方太【嵌入式洗碗机V18】 重磅新品升级熊猫系列150升以上容量高效洁净力三层碗篮三重消杀超一级水效,6705.00,6705.00,7450.00,方太京东自营旗舰店,1000000907,100239179339
德玛仕（DEMASHI）商用洗碗机揭盖式 全自动饭店餐厅酒店学校食堂洗碗机洗盘子洗杯机大型 5.9米丨天然气丨DMS-XWJ-590RX1,150599.00,150599.00,150599.00,德玛仕商用设备旗舰店,878142,10214099267646
圣 托单位厨房隧道式刷碗机 304不锈钢洗碟机 单杠双喷淋带烘干长龙式洗碗机 STDG-WL46,98800.00,98800.00,98800.00,圣托京东自营旗舰店,1000082725,100072477090
优厨派商用大型长龙式全自动洗碗机酒店学校宴会厅食堂自动洗碗机高温消毒烘干除渣洗碗一体机 01单缸一洗一漂YCP-L260,48000.00,48000.00,48000.00,优厨派厨房电器官方旗舰店,13071028,10124152372457
德玛仕（DEMASHI）商用洗碗机揭盖式 全自动饭店餐厅酒店学校食堂洗碗机洗盘子洗杯机大型 2.8米丨液化气丨DMS-XWJ-280RX1,70599.00,68999,70599.00,德玛仕商用设备旗舰店,878142,10214099267633
驰能（CHINENG）通道式商用洗碗机餐厅专用大型酒店餐厅学校食堂全自动洗碗机烘干一体 CN-8022-TDJ-Z1P1H1-L195,45990.00,45990.00,58800.00,驰能（CHINENG）京东自营旗舰店,1000408685,100116826017
COLMO【 黑珍珠】16套C1洗碗机/18套C2洗碗机 独嵌两用/C3洗碗机 大容量 AI仿生手洗 负离子净味除菌 嵌入式 C1【16套】标配面板,5958.00,5958.00,8999.00,COLMO中央空调旗舰店,11541214,10117292543454
海尔洗碗机嵌入式 家用洗碗机【W30MAX顶配版】17套大容量超一级水效六星消毒全自动开门烘干洗消烘存 【顶配】大17套真三层丨残渣粉碎,4587.00,4587.00,5799.00,海尔洗嵌旗舰店,13747614,10152169093090
老板（Robam）盐系G1Ultra 洗碗机 150L以上大容量灵动门0菌洗碗机 嵌入式去重油污热风烘干消杀168h长效存储 【品质款】150L+ | 自动开关门-黑 G1U盐系洗碗机,5410.00,5407,7999.00,老板洗碗机官方旗舰店,11502858,10101259483981
美的（Midea）万向洗碗机嵌入式 18套全自动家用厨房家电UV杀菌蒸汽消毒洗烘一体 105℃热风烘干不锈钢大容量 【简约黑X6S Max】变频万向全腔洗,5499.00,5499.00,9999.00,美的厨电旗舰店,921575,10173969074926
SYOWA全自动除渣机 食堂洗碗机 灰色 1800*816*1500,69800.00,69800.00,69800.00,SYOWA商用清洗设备官方旗舰店,117731140,10215797983641
力卫士LWS-TP-E3800H-商用洗碗机餐饮饭店学校企业食堂餐厅用,108000.00,108000.00,108000.00,力卫士商用电器官方旗舰店,16509640,10118585529023
德玛仕（DEMASHI）商用洗碗机揭盖式 全自动饭店餐厅酒店学校食堂洗碗机洗盘子洗杯机大型 3.3米丨天然气丨DMS-XWJ-330RX1,80599.00,78999,80599.00,德玛仕商用设备旗舰店,878142,10214099267637
乐创（lecon）长龙式洗碗机商用揭盖式刷碗洗碟机全自动洗碗机食堂烘干可选配 平板式洗碗机豪华预泡+消毒+烘干套餐,120980.00,120980.00,120980.00,乐创商超设备旗舰店,10277589,10191726963509
麦大厨 商用洗碗机全自动大型刷碗机学校饭店餐厅双缸双喷长龙式洗碗机MDC-XXA2-PFS-Z2P2H2,101999.00,101999.00,109760.00,麦大厨制热京东自营旗舰店,1000471043,100072122179
德玛仕 商用洗碗机 长龙 自动化大型食堂清洗刷碗机,179800.00,179800.00,215760.00,德玛仕工程京东自营旗舰店,1000119422,100047018611
麦大厨 洗碗机商用全自动大型刷碗机食堂长龙履带式超大容量洗碗机设备带烘干MDC-XXA2-XCS-CZ-Z2P2H1,101999.00,101999.00,109760.00,麦大厨洗消京东自营旗舰店,1000469949,100062535844
麦大厨 商用洗碗机全自动大型刷碗机学校食堂餐厅酒店厨房双缸长龙式洗碗机 MDC-XXA2-PFS-Z2P1,50499.00,50499.00,54220.00,麦大厨制热京东自营旗舰店,1000471043,100072498900
旭众揭盖式商用洗碗机餐厅饭店专用洗碟机大型食堂酒店全自动洗杯机洗汤勺刷碗机 4.1米(1主洗+2漂洗+1烘干）,73100.00,72600,73100.00,旭众专卖店,11650018,10205517095108
麦大厨商用洗碗机全自动大型刷碗机饭店餐厅高温烘干双缸烘干长龙式洗碗机MDC-XXA2-PFS-Z2P2H1,81499.00,81499.00,87660.00,麦大厨制热京东自营旗舰店,1000471043,100072122169
德玛仕（DEMASHI）商用洗碗机揭盖式 全自动饭店餐厅酒店学校食堂洗碗机洗盘子洗杯机大型 5.9米丨液化气丨DMS-XWJ-590RX1,159599.00,159599.00,159599.00,德玛仕商用设备旗舰店,878142,10214099267645
喜莱盛商用洗碗机长龙式全自动大型刷碗机学校食堂餐厅酒店工业洗碗机3.8米单缸单漂洗消毒带烘干LWS-M38,69800.00,69800.00,69800.00,喜莱盛消洗京东自营旗舰店,1000481927,100113216151
驰能（CHINENG）通道式商用洗碗机餐厅专用大型酒店餐厅学校食堂全自动洗碗机烘干一体 CN-8021-TDJ-Z1P2H1-Y25,58990.00,58990.00,74321.00,驰能（CHINENG）京东自营旗舰店,1000408685,100053516382
洗不干净免费退换  自带烘干功能自带除渣功能,179800.00,179800.00,215760.00,德玛仕工程京东自营旗舰店,1000119422,100047018579
优厨派商用大型长龙式全自动洗碗机酒店学校宴会厅食堂自动洗碗机高温消毒烘干除渣洗碗一体机 07双缸一洗两漂两烘干YCP-L570H2,88182.00,88182.00,88182.00,优厨派厨房电器官方旗舰店,13071028,10124152372463
美的（Midea）【万向X6S Max】洗碗机全嵌入式升级18套大容量家用洗碗机全自动万向喷淋臂热风烘干【X6S Ultra】 嵌入式 【X6SMAX】【黑色款】,5499.00,5499.00,7099.00,美的洗碗机旗舰店,674884,10172752025007
喜莱盛商用洗碗机长龙式全自动大型刷碗机学校食堂餐厅酒店工业洗碗机3.8米双缸单喷+漂洗消毒LWS-M38,64800.00,64800.00,64800.00,喜莱盛消洗京东自营旗舰店,1000481927,100100941220
