标题,原价,最终价,历史价,销售店铺,店铺 ID,sku,喷淋臂类型,喷淋臂数量,颜色,内胆材质,机身高度,套数,碗篮层数,洗涤程序,烘干方式,清洁指数,干燥指数,水效等级,产品尺寸,智能投放,水压,消杀等级,存储时长
西门子黑魔镜636ProMax 150L+大容积 双一级认证超节能洗碗机,6499.00,6499.00,6999.00,西门子家电京东自营旗舰店,1000001421,100130777668,上下S型喷臂,未知,黑色,304和430不锈钢,775mm,约109件,2层,10大洗涤程序+云程序（包含节能洗、智能洗、超快洗、超净洗、日常洗、自定义等）,SmartAir™智能开门烘干+专利高温循环热烘,1.24,1.23,超一级,775*598*573（高*宽*深）,支持,4.1米,五星级,168h（7天）
美的晶焰G7洗碗机 16套灶下嵌入式 万向飓风喷臂,4999.00,4999.00,7999.00,京东电器自营官方旗舰店,1000469621,100193977566,"万向飓风喷淋臂, 万向喷淋臂","3+2, 3层",黑色,全不锈钢内胆,"700mm, 775mm","16套, 18套, 18套+2, 21套","2层, 3层, 3+1层","7+5+6, 6+8+6, 6+11+6, 6+9+6, 单消毒、区域强洗, 一键洗烘、海鲜洗、蒸汽消毒, 一键洗烘（超快79MIN）晶焰消毒（免水洗单烘干）海鲜洗、玩具洗、区域强洗, 开合速干、一键洗烘、蒸汽消毒、区域强洗、海鲜洗","105℃热风烘干, 晶焰3.0:120℃环流热烘 洗完即干 一级洁净认证 无残留认证, 晶焰双模烘干 105℃热风+自动开关门 一级速干认证","1.21, 1.31, 1.32","1.25, 1.32",超一级水效,"598*576*700mm, 598*576*775mm, 600*570*775mm","智能投放2.0, 未知","变频50kPa, 变频55kPa","四星消毒, 四星消毒 七星消杀 UV紫外线消毒, 四星消毒 七星消杀 VDEi认证","超168小时新风存储 无需重复洗烘 内胆不返潮 木制餐具不发霉 智能APP操作 想存多久存多久, 365天储存+ APP无限巡航"
美的万向X6S小蛮腰111L 45cm超窄双模烘干 洗碗机,6234.00,6234.00,6999.00,美的京东自营旗舰店,1000282702,100272261422,,,,,,,,,,,,,,,,,
松下（Panasonic） 鲸18套1JD 高温烘干 除菌净存 嵌入式洗碗机,6499.00,6499.00,7999.00,松下厨卫电器京东自营旗舰店,1000017365,100141543922,,,,,,,,,,,,,,,,,
西门子新水效洗碗机全链路除菌99.999%,5790.00,5790.00,9999.00,西门子家电京东自营旗舰店,1000001421,100333110210,反重力悬浮喷淋臂,未知,黑色,未知,775mm,20套,3层,"火锅洗,AI净洗,静音洗,微米蒸汽,开门速干,超净洗,日常洗,超快洗,预冲洗,加强除菌",开门速干（Smart Air开门烘3.0）,未知,未知,新1级,775*598*573mm,未知,50000Pa,99.9999%杀菌率（覆盖9大常见细菌病毒）,240h
美的万向X6S Max洗碗机 18套嵌入式 四星消毒 七星消杀 一键洗烘,6469.00,6469.00,6999.00,京东电器自营官方旗舰店,1000469621,100261776992,万向喷淋臂,未知,黑色,全不锈钢内胆,775mm,18套,3层,"一键洗烘, 标准洗, 超强洗, 快速洗, 节能洗, 蒸汽消毒, 漂洗, 分层洗, 烘干储存, 自清洁, 预冲洗, 智能洗, 轻柔洗, 瓜果洗, 消毒洗, 海鲜洗, 火锅洗","105℃热风强烘, PTC环流热风+105°热风烘干",1.31,1.32,1级,宽598mm x 深576mm x 高775mm,未知,50KPa,4星级,168h
美的（Midea）【万向X6S Max】洗碗机全嵌入式升级18套大容量家用洗碗机全自动万向喷淋臂热风烘干【X6S Ultra】 嵌入式 【新品】【万向升级款X6SUltra】,5499.00,5499.00,6999.00,美的洗碗机旗舰店,674884,10213700043093,万向喷淋,未知,黑色,全不锈钢内胆,775mm,"20套,18套",3层,"一键洗烘,标准洗,超强洗,节能洗,巴氏消毒,自清洁,预冲洗,轻柔洗,瓜果洗,海鲜洗,火锅洗,消毒洗,智能洗,快速洗","晶焰双模式烘干（自动开门速干+105℃热风烘干）,105℃热风烘干","1.33,1.31","1.33,1.32","新国标一级能效,1级","(600-605)×585×(780-810)mm,宽598x深585x高775mm",未知,"55kPa,50kPa","七星消杀+四星消毒,四星级","365天,168H"
美的（Midea）【小西梅P80】洗碗机嵌入式150升以上 万向喷臂+飓风洗 105℃热风烘干晶焰速干 七星消杀 一键洗烘 嵌入式 【重磅新品】 P80,6299.00,6299.00,9999.00,美的集团官方旗舰店,173337,10214688357954,"万向中喷, 飓风下喷",双区域喷臂,玄武灰,未知,775mm（或775 - 805mm）,22套,3层,"一键洗烘, 标准洗, 超强洗, 海鲜洗, 节能洗, 巴氏消毒, 热风烘存, 开门速干, 分层洗, +漂洗, 智能洗, 消毒洗, 自清洁, 预冲洗, 轻柔洗, 火锅洗, 瓜果洗, 快速洗, 长效储存","自动开门烘干, 105℃热风烘干",1.33Pc,1.33PD,1级,598×775×576mm,未知,55kPa,七星消杀,365+N
西门子新水效洗碗机全链路除菌99.999%,5390.00,5390.00,9999.00,西门子家电京东自营旗舰店,1000001421,100249637925,反重力悬浮喷淋臂,未知,黑色（钢琴黑）,未知,795mm,20套,3层,火锅洗、AI净洗、单除菌、静音洗、超净洗、开门速干、智能洗、预冲洗、节能洗、蒸汽洗、全域洗、专研洗、强排洗,Smart Air开门烘3.0,未知,未知,新1级,795*600*605（mm）,未知,50000Pa,99.9999%杀菌率（覆盖9大常见细菌病毒）,240h
美的灶下V9 Pro 103L一键单消毒七星消杀洗碗机,3868.00,3868.00,8499.00,美的京东自营旗舰店,1000282702,100164551887,双层加大喷臂,未知,黑色,未知,595mm,15套,2层,"一键洗烘, 标准洗, 超强洗, 节能洗, 果蔬洗, 火锅洗, 蒸汽消毒, 自清洁, 智能洗, 快速洗, 预冲洗, 消毒洗, 漂洗, 烘干储存, 下层强洗",热风烘干,1.29,1.30,1级,595x595x500mm,未知,55kPa,四星消毒+七星消杀,168小时
华帝双子星D3000Max 智能投放洗碗液 23寸大彩屏 果蔬洗 一级水效,5880.00,5880.00,7655.00,华帝京东自营旗舰店,1000000930,100188469716,"双子星变距喷淋臂, 双子智伸缩喷淋臂",未知,"黑色, 升级星韵灰AG肤感",抗菌耐用不锈钢内胆,775mm,未知,三层抽拉碗篮,6+6+4,"105℃炙风热烘, 专利三风道热风烘干, 双风机三风道热风烘干",一级洗净覆盖认证,未知,1级,598×775×570mm,支持,"50000Pa, 0.04 - 1.0MPa",五星消毒,168h干态抑菌存储
海尔W5000Plus 18套双面洗 AI智能洗双重除菌嵌入式洗碗机,3666.00,3666.00,6899.00,海尔京东自营旗舰店,1000001782,100142299486,H型双向喷淋臂,未知,黑色,精钢,768mm,18套+3,3层,"智能, UV超净, 日常, 轻油, 速洗, 微蒸汽, 玻璃, 烤盘, 果蔬, 夜洗, 单消毒, 云智洗",智能开门速干,"1.26, 1.32, 1.34","1.24, 1.30, 1.38",超一级,598*581*768mm,未知,"56000Pa, 0.03~1.0 MPa","六星级, 七星级","168h, 240h"
美的（Midea）【小西梅PRO】洗碗机GX7尊享版嵌入式150升以上智投万向五臂飓风洗双模烘干七星消杀,9499.00,9499.00,12999.00,美的京东自营旗舰店,1000282702,100341835726,万向飓风2.0（万向中喷+下层强洗飓风喷臂）,5,黑色,全不锈钢,775mm,24套,3+1层,"超强洗, 节能洗, 快速洗",晶焰双模烘干,1.33,1.33,1级,598*585*775mm,是,55Kpa,七星消杀,365+N天
美的（Midea）洗碗机小白鲸15Pro全嵌入式家用全自动独立式15套大容量灶下式洗碗机热风烘干消毒洗烘一体 台嵌两用 双重高温消杀【新品】,3199.00,3199.00,4299.00,美的洗碗机旗舰店,674884,10215761245093,"双压强劲洗涤系统, 双层360°暴风喷淋",未知,白色,未知,590mm,15套,双层,"轻洗烘, 标准洗烘, 强洗烘, 节能洗, 果蔬洗, 消毒洗, 海鲜洗, 自清洁, 预冲洗","105℃热风烘干, PTC热风烘干, 双重热风烘干",1.30,1.38,一级,550x590x500mm,未知,0.04Mpa~1Mpa,7星级,168小时
华帝洗碗机D3000Max尊享版 白色 双子星全域洗 一级水效,6233.00,6233.00,7999.00,华帝京东自营旗舰店,1000000930,100216873923,双子智伸缩喷淋臂,2,"皓月白, 星韵灰",未知,775mm,未知,3层,"智能洗, 果蔬洗, 独立消毒, 强力洗, 标准洗, 节能洗, 消毒存储, 智能投放, 增强漂洗, 上层洗, 下层洗, 预约洗涤, 玻璃洗, 重油洗, 玩具洗, 自清洁",热风烘干,1.35,1.38,1级,598×775×570mm,支持,0.04 - 1.0MPa,五星,168小时
美的台式UP2 Pro 50L 三星消毒 专利母婴洗洗碗机,1898.00,1898.00,5099.00,美的京东自营旗舰店,1000282702,100214818628,"顶层喷臂, 中层喷臂, 下层双旋臂",4,黑色,未知,500mm,5套,2,"果蔬洗, 母婴洗, 快速洗, 超强洗, 标准洗, 节能洗, 自清洁, 海鲜洗",热风烘干,1.25 Pc,1.21 Pd,一级,550mm*500mm*360mm,未知,未知,三星,72h
西门子（SIEMENS）【黑魔镜4.0】636ultra嵌入式洗碗机150升以上容积火锅洗双一级认证省水省电一键单消毒SJ43HB03MC,7190.00,7190.00,8999.00,西门子家电京东自营旗舰店,1000001421,100323376666,"反重力悬浮喷淋臂,五层四翼喷淋,五层喷淋系统",四翼,黑色,未知,775mm,未知,3层,"护婴洗,蒸汽去污,夜静洗,自清洁,单烘干,预冲洗,快洗烘,火锅洗,即时洗,晶柔洗,下层强洗","双核热动力烘干,除菌级单烘干","1.25,1.31,1.16","1.21,1.33,1.20",超一级水效,775*598*573,支持,"56000pa,39500pa",五星级,"240h,96h"
美的【随心换PX300Pro】16套 嵌入式洗碗机 变频五臂飓风洗 四星消毒 一键洗烘 UV杀菌105℃晶焰烘干,5099.00,5099.00,7999.00,美的嵌入式厨房电器旗舰店,16268112,10140757239962,万向飓风五喷臂,5,"曜石黑, 萤石灰, 熔幔岩, 极地白",不锈钢,775mm,16+2套,3层,"智能洗, 节能洗, 标准洗, 超强洗, 消毒洗, 一键洗烘, 云洗涤, 分层洗, +漂洗, 区域强洗, 烘干存储, 火锅洗, 单消毒（默认）, 自清洁, 快速洗, 预冲洗",105℃热风烘干,1.30,1.30,一级,598mm×550mm×775mm,未知,50kPa,四星消毒,168h
每誉【洗碗机大单槽U8转角王】台面嵌入式大容量锅碗同洗一体机空间巧利用可洗海鲜果蔬方太集团出品,3528.00,3528.00,4000.00,每誉京东自营旗舰店,1000576463,100330188842,未知,未知,黑色,未知,560mm,未知,未知,"超快洗,日常洗,超净洗,节能洗,独立蒸汽消杀,168h长效储存,常温洗",双风道热风烘干,1.20,1.22,一级,480mm x 515mm x 560mm,未知,0.14MPa - 1MPa,未知,7天（168h）
方太（FOTILE）【新品】水槽洗碗机02-M1S 换装优选 双层大容量 洗碗不弯腰 洗海鲜果蔬 水槽式 洗碗机在右 02-M1S,7058.00,7058.00,8999.00,方太洗碗机旗舰店,10414198,10211900571775,3层立体喷淋臂,未知,黑色,304不锈钢,625mm,10套,2层,"超快洗, 日常洗, 超净洗, 节能洗, 碗碟清洗, 果蔬清洗, 保洁存储, 蒸汽消杀",PTC热风循环烘干,1.24,1.26,超一级,894mm×490mm×625mm,未知,0.14MPa-1MPa,五星,168小时
美的（Midea）【万向X6S Max(白)】洗碗机嵌入式150升以上七星消杀四星消毒一键洗烘蒸汽单消毒UV杀菌105℃热烘,6469.00,6469.00,10099.00,美的京东自营旗舰店,1000282702,100193498740,万向喷淋臂,未知,"白色, 黑色, 星河灰",全不锈钢内胆,775mm,18套,3层,"一键洗烘, 标准洗, 超强洗, 快速洗, 节能洗, 蒸汽消毒, 自清洁, 预冲洗, 智能洗, 轻柔洗, 瓜果洗, 消毒洗, 海鲜洗, 火锅洗",105℃热风烘干,1.31,1.32,1级,宽598×高775×深576（mm）,未知,50KPa,四星级消毒,168小时
西门子（SIEMENS）SJ65ZX00MCSJ65ZX08MCSJ65ZX28MC嵌入式洗碗机20套晶蕾烘干 20套SJ65ZX28MC+黑色面板,12814.00,9676.32,12814.00,JiuShiSheng 海外专营店,13176317,10208257077470,,,,,,,,,,,,,,,,,
美的（Midea）台式洗碗机【可爱多M10 MAX】家用4套小尺寸免安装 新升级85℃热风烘干 一级水效高温除菌双层碗篮 台式 小尺寸 免安装 小厨房租房优选,1299.00,1299.00,1699.00,美的集成洗碗机旗舰店,115303304,10213871871665,,,,,,,,,,,,,,,,,
卡萨帝致境N10 抽屉式不弯腰8套洗烘消一体洗碗机,8199.00,8199.00,8999.00,卡萨帝京东自营旗舰店,1000004489,100168172703,,,,,,,,,,,,,,,,,
老板（Robam）【小太阳消毒洗碗机】150升以上嵌入式105℃独立消毒45分钟极速洗烘消专柜同款W76A-V20P升级款,8466.00,8466.00,9499.00,老板电器京东自营旗舰店,1000001402,100254885053,,,,,,,,,,,,,,,,,
美的（Midea）【万向X6S小蛮腰】洗碗机嵌入式家用全自动16套大容量万向喷臂超窄机身单消毒晶焰双模烘干一体机 超窄 新品【X6S小蛮腰16套】,5299.00,5299.00,6637.00,美的（Midea）厨房家电旗舰店,237010701,10195858260590,,,,,,,,,,,,,,,,,
海尔W5000SMax白 18套四驱双面洗UV双重除菌嵌入式洗碗机,3832.00,3832.00,8398.00,海尔京东自营旗舰店,1000001782,100254746338,,,,,,,,,,,,,,,,,
美的（Midea）升级款新品【万向X6S Ultra】洗碗机嵌入式家用20套大容量105℃热风烘干母婴消毒一键洗烘七星消杀 嵌入式 X6S Ultra 黑色款【免费上门测量尺寸】,5499.00,5499.00,7999.00,美的集成洗碗机旗舰店,115303304,10214008632176,,,,,,,,,,,,,,,,,
老板（Robam）【推荐消毒洗碗机V20】【甲流消杀】嵌入式洗碗机家用全自动独立消毒分层洗W64B35D黑色,5353.00,4817.7,5999.00,老板电器京东自营旗舰店,1000001402,100267393790,,,,,,,,,,,,,,,,,
华帝洗碗机D1000 50Kpa全域洗涤 五星消毒 一级水效 168h长效存储,4197.00,4197.00,4759.00,华帝京东自营旗舰店,1000000930,100076793653,,,,,,,,,,,,,,,,,
Casarte卡萨帝抽屉式洗碗机N10S  16套双层分区洗护  直驱变频电机  一屏双控设计 风巡航速干,17999.00,17999.00,17999.00,卡萨帝冰洗套装旗舰店,15818779,10209091228754,液力悬浮喷淋臂,未知,钢琴黑,未知,821mm,16套,2层,"轻油模式, 超净模式, 日常, 超快, 炊具, 酒具, 果蔬, 单消毒, 云智洗",风巡航速干,1.26,1.24,2级,599*577*821mm,未知,0.05~1.0MPa,未知,未知
德玛仕（DEMASHI）商用洗碗机 揭盖式 全自动化大型酒店食堂餐厅饭店大容量刷碗机H60-2S 双缸喷淋,16980.00,16980.00,23999.00,德玛仕工程京东自营旗舰店,1000119422,100014384432,"上喷淋臂, 下喷淋臂",2,银色,不锈钢,1903mm,未知,未知,未知,未知,未知,未知,未知,715*840*1380,未知,未知,未知,未知
西门子（SIEMENS）【双一级认证超省水省电】150升以上容积晶蕾烘存黑魔镜洗碗机嵌入式 SJ65ZX00MC(送黑玻璃门板）,11800.00,11800.00,11999.00,西门子家电京东自营旗舰店,1000001421,100096073159,五层喷淋系统,5,黑色,不锈钢,775mm,15套,3层,"日常洗, 智能洗, 节能洗, 超净洗, 预冲洗, 超快洗, 自清洁, 自定义, 夜静洗, 晶柔洗, 轻载模式","晶蕾烘干, 余温循环烘干, 冷凝烘干",1.20,1.19,1级,775mm*598mm*550mm,支持,56000PA,99.999%除菌率,96小时
冈田（日本）集成水槽消毒柜洗碗机14套家用超声波果蔬清洗嵌入式碗柜一体机单双水槽 热风烘干一体 【超声波1000B6B】镀钛双槽+14套分层去渣洗,8188.00,8168,8188.00,冈田厨卫旗舰店,14733322,10111898718946,,,,,,,,,,,,,,,,,
博世（BOSCH）新品博世SEU4HKB99C新风V10灶下安装洗碗机15套全自动家用嵌入式 SEU4HKB99C 15套 黑色 新品,10780.00,9378,10780.00,TOPWELL海外专营店,20164363,10201029686297,,,,,,,,,,,,,,,,,
SYOWA全自动除渣机 食堂洗碗机 灰色 1800*816*1500,69800.00,69800.00,69800.00,SYOWA商用清洗设备官方旗舰店,117731140,10215797983641,未知,未知,白色,未知,1500mm,未知,未知,未知,未知,未知,未知,未知,1800*816*1500mm,未知,0.2-0.5MPA,未知,未知
西门子（SIEMENS）【黑魔镜4.0】636Mega【双一级认证超节能】150升以上全能舱单烘干全能舱 嵌入式洗碗机SJ43EB33MC,8399.00,8399.00,8999.00,西门子家电京东自营旗舰店,1000001421,100258341766,,,,,,,,,,,,,,,,,
美的（Midea）嵌入式变频洗碗机 18套万向家用一级能效喷淋式X6Pro X6Max16套曜石黑,7258.00,6895.1,7258.00,奥美电器经营部,65782735,10205296895618,,,,,,,,,,,,,,,,,
美的（Midea）【灶下V9Pro】洗碗机嵌入式家用15套大容量台式七星消杀全自动灶下台面独立洗烘蒸汽单消毒一体机 灶下 V9 Pro白【一键洗烘+单消毒】,3699.00,3699.00,4999.00,美的厨卫旗舰店,10274375,10212099410806,,,,,,,,,,,,,,,,,
冈田（日本）集成洗碗机水槽一体机家用纳米镀钛不锈钢水槽消毒柜超声波洗碗机水槽一体三合一果蔬清洗 【飞雨款】900双槽-14套洗碗机,5588.00,5368,10976.00,冈田洗碗机旗舰店,18296903,10204839717766,,,,,,,,,,,,,,,,,
老板（Robam）【独立下层洗】盐系G3 106升容量灶下可装家用全自动洗碗机嵌入式七星级消毒一级能效W60A-G3,5054.00,5054.00,5999.00,老板电器京东自营旗舰店,1000001402,100339833852,,,,,,,,,,,,,,,,,
博世（BOSCH）小虎鲸Solo洗碗机 独立嵌入式17+3套家用大容量 5分钟开门闪干 火锅洗 240小时除菌存 SMS4EKB88C,5090.00,5090.00,6999.00,博世官方旗舰店,11593435,10205047214576,,,,,,,,,,,,,,,,,
老板Robam/ W64-S2/W76-S2/W76-S2L/W76F-S2L洗碗机光焱洗消一体 W64-S2 线下同款,5875.00,5865,5875.00,招彬电器经营部,12884191,10206920272598,,,,,,,,,,,,,,,,,
风之鹿商用洗碗机长龙洗碗机全自动化大型酒店食堂饭店大容量清洗刷碗机长龙机 标准款3.6米/洗漂烘干一体,49980.00,49980.00,49980.00,风之鹿商用电器旗舰店,20093781,10186210786289,,,,,,,,,,,,,,,,,
华帝【双子星D3000】享85折！下单抢100元京豆+洗涤套装,4443.00,3998.7,5999.00,华帝京东自营旗舰店,1000000930,100100885072,,,,,,,,,,,,,,,,,
郑弦郑弦 商用洗碗机 QCHR-LNMDJH457XM 台,200000.00,200000.00,200000.00,郑弦居家布艺旗舰店,16334194,10155504815593,,,,,,,,,,,,,,,,,
优厨派商用大型长龙式全自动洗碗机酒店学校宴会厅食堂自动洗碗机高温消毒烘干除渣洗碗一体机 08三缸两洗两漂一烘干YCP-L570H1,96600.00,96600.00,96600.00,优厨派厨房电器官方旗舰店,13071028,10124152372464,,,,,,,,,,,,,,,,,
德玛仕（DEMASHI）商用洗碗机揭盖式 全自动饭店餐厅酒店学校食堂洗碗机洗盘子洗杯机大型 2.8米丨液化气丨DMS-XWJ-280RX1,70599.00,68999,70599.00,德玛仕商用设备旗舰店,878142,10214099267633,,,,,,,,,,,,,,,,,
美的（Midea）【GX1200Max尊享版】洗碗机嵌入式150升以上智投万向五臂飓风洗内循环烘干七星消杀,8822.00,8822.00,10999.00,美的京东自营旗舰店,1000282702,100272261424,,,,,,,,,,,,,,,,,
海尔【小蛮腰X11Pro】洗碗机嵌入式中型115升大容量双面洗45cm超窄分区洗一级水效10天净存自动开关门 【双面洗】EYSW14586GHU1 黑色,5598.00,5598.00,7999.00,海尔官方旗舰店,738967,10178822467464,,,,,,,,,,,,,,,,,
优厨派商用大型长龙式全自动洗碗机酒店学校宴会厅食堂自动洗碗机高温消毒烘干除渣洗碗一体机 01单缸一洗一漂YCP-L260,48000.00,48000.00,48000.00,优厨派厨房电器官方旗舰店,13071028,10124152372457,,,,,,,,,,,,,,,,,
德玛仕（DEMASHI）商用洗碗机揭盖式 全自动饭店餐厅酒店学校食堂洗碗机洗盘子洗杯机大型 4.9米丨电热加热丨DMS-XWJ-490DX1,121599.00,121599.00,121599.00,德玛仕商用设备旗舰店,878142,10214099267641,,,,,,,,,,,,,,,,,
西门子【智净魔方】洗碗机灶下15套嵌入式 晶蕾烘干 240小时长效抑菌存 超五星级除菌 SE45ZB25KC 京东自营,8458.00,8458.00,10699.00,京东家电自营旗舰店,1000492521,100086535049,,,,,,,,,,,,,,,,,
华菱台下式商用洗碗机餐厅全自动刷碗机食堂饭店洗杯机 台下式洗碗机(免安装)送3洗碗框,7290.00,7290.00,8100.00,华菱商用电器旗舰店,12522739,10071529341710,,,,,,,,,,,,,,,,,
默克菲尔残渣粉碎水槽洗碗机家用厨房嵌入式超声波台上洗碗消毒一体机不锈钢槽体 双槽(残渣粉碎+超声波)-右侧,6469.41,6468.41,8299.00,默克菲尔官方旗舰店,16360362,10153519125899,,,,,,,,,,,,,,,,,
海信（Hisense）洗碗机全嵌入式家用全自动独立台面式15套三层喷臂碗篮可调分层洗超一级洗净比五星消杀国家补贴 台嵌两用 16套40KPA水压专利消杀,3399.00,3249,3399.00,海信（Hisense）比乐专卖店,272006783,10194450877383,,,,,,,,,,,,,,,,,
海尔W5000SMax白 18套四驱双面洗UV双重除菌嵌入式洗碗机,3832.00,3832.00,8398.00,海尔京东自营旗舰店,1000001782,100254746338,,,,,,,,,,,,,,,,,
帅丰S78-14C嵌入式大容量热风烘干洗碗机,4999.00,4999.00,4999.00,帅丰官方旗舰店,106492,10163433156269,,,,,,,,,,,,,,,,,
美大易玲集成水槽洗碗机一体嵌入式3D超声波果蔬清洗家用大容量消毒柜水槽式全自动洗碗机 900mm【珍珠白】【双槽】双层消毒柜,5499.00,3499,5499.00,美大易玲天途专卖店,201043342,10199152078117,,,,,,,,,,,,,,,,,
德玛仕（DEMASHI）商用洗碗机揭盖式 全自动饭店餐厅酒店学校食堂洗碗机洗盘子洗杯机大型 3.3米丨电热加热丨DMS-XWJ-330DX1,71599.00,69999,71599.00,德玛仕商用设备旗舰店,878142,10214099267635,,,,,,,,,,,,,,,,,
